variant,image,prompt_id,prompt,n_prompt_tokens,n_tiles,proc_s,prefill_s,decode_s,n_decode_tokens,decode_tok_s,peak_gpu_gb,stopped_early,output
standard,portrait,describe_en,Describe this image in one sentence.,861,13,0.042,0.953,0.289,45,155.55,2.437,0,"A smiling man in a white lab coat, labeled with the name ""OICOMELVANG"" and a medical cross emblem, gestures with his right hand while seated at a desk in a well-lit office."
standard,portrait,text_en,What text appears in this image?,861,13,0.035,0.112,0.132,7,53.06,2.437,0,OICOMELVANG
standard,portrait,count_en,Count the objects/people in this image.,863,13,0.036,0.112,0.141,10,70.85,2.437,0,There are 3 people in the image.
standard,portrait,subject_en,What is the main subject?,860,13,0.036,0.131,0.149,13,86.98,2.437,0,The main subject is a man wearing a white lab coat.
standard,portrait,describe_zh,用一句話描述這張圖片。,874,13,0.032,0.113,0.18,22,122.12,2.438,0,他說：“OICOMELVANG，25158”。
standard,anime_grid,describe_en,Describe this image in one sentence.,1121,17,0.074,0.304,0.353,56,158.74,2.906,0,"This image displays a digital fashion design software interface, showcasing various portrait and profile views of a woman in different outfits, including a cropped tank top, high-waisted jeans, and a white dress, along with motion-blurring and face-close-up options."
standard,anime_grid,text_en,What text appears in this image?,1121,17,0.063,0.147,0.208,19,91.5,2.906,0,Cama loitapinal! Koma Side Profile Kana 35:4
standard,anime_grid,count_en,Count the objects/people in this image.,1123,17,0.06,0.147,0.153,3,19.67,2.906,0,10
standard,anime_grid,subject_en,What is the main subject?,1120,17,0.059,0.204,0.152,3,19.74,2.906,0,A woman
standard,anime_grid,describe_zh,用一句話描述這張圖片。,1134,17,0.06,0.147,0.218,22,100.7,2.907,0,This is a digital fashion design software interface showcasing various portrait and profile views of a woman in different outfits.
standard,neon_text,describe_en,Describe this image in one sentence.,1121,17,0.043,0.147,0.275,39,141.99,2.906,0,"A vibrant red neon sign reading ""HELLO KADE"" glows brightly on a rainy night down a wet city street, reflecting the lights of the surrounding buildings and streetlamps."
standard,neon_text,text_en,What text appears in this image?,1121,17,0.042,0.146,0.164,6,36.6,2.906,0,HELLO KADE
standard,neon_text,count_en,Count the objects/people in this image.,1123,17,0.046,0.147,0.181,11,60.84,2.906,0,There are 2 people visible in the image.
standard,neon_text,subject_en,What is the main subject?,1120,17,0.046,0.147,0.163,6,36.73,2.906,0,HELLO KADE
standard,neon_text,describe_zh,用一句話描述這張圖片。,1134,17,0.045,0.147,0.168,7,41.71,2.907,0,A rainy night in kade
standard,screenshot,describe_en,Describe this image in one sentence.,1121,17,0.051,0.146,0.359,64,178.41,2.906,0,"This infographic compares four AI creation packages: PLUS, ULTRA, SEEDANCE 2.0, and UNLIMITED & FREE GENS, highlighting cost savings ($49, $428, $864) and features like parallel generations, Supercomputer access, and unlimited models."
standard,screenshot,text_en,What text appears in this image?,1121,17,0.048,0.146,0.36,64,177.8,2.906,0,"PLUS 49% OFF For everyday AI creation ULTRA 56% OFF Best Value Select Offer Save $288 compared to monthly $49 $25 per month, billed annually  yellow Select Offer $429 $57 per month, billed annually"
standard,screenshot,count_en,Count the objects/people in this image.,1123,17,0.048,0.146,0.337,57,169.36,2.906,0,"Based on the image provided, here is a count of the objects/people present:  **Objects/People:** *   **PLUS:** 1 *   **ULTRA:** 2 *   **SEEDANCE 2.0:** 3"
standard,screenshot,subject_en,What is the main subject?,1120,17,0.047,0.146,0.152,3,19.77,2.906,0,AI creation
standard,screenshot,describe_zh,用一句話描述這張圖片。,1134,17,0.047,0.148,0.249,31,124.27,2.907,0,"This is an infographic showcasing two different AI creation packages, PLUS and Ultra, highlighting their cost savings, features, and benefits for various AI projects."
standard,chart,describe_en,Describe this image in one sentence.,861,13,0.034,0.113,0.23,37,160.66,2.437,0,"This bar chart compares revenue and cost for Q1-Q2 2026, showing that revenue exceeds cost by 100,000 in June."
standard,chart,text_en,What text appears in this image?,861,13,0.034,0.113,0.155,14,90.34,2.437,0,Q1-Q2 2026 Revenue vs Cost
standard,chart,count_en,Count the objects/people in this image.,863,13,0.034,0.113,0.116,2,17.28,2.437,0,Six
standard,chart,subject_en,What is the main subject?,860,13,0.037,0.112,0.125,5,40.01,2.437,0,Revenue vs Cost
standard,chart,describe_zh,用一句話描述這張圖片。,874,13,0.04,0.112,0.184,24,130.43,2.438,0,This bar chart compares the revenue and cost of a company during Q1-Q2 2026.
standard,receipt,describe_en,Describe this image in one sentence.,861,13,0.032,0.112,0.313,64,204.22,2.437,0,"This image displays a receipt from Blue Bottle Cafe at 1234 Market St, San Francisco, showing the transaction details for a purchase of coffee, including items like Latte, Cappuccino, Croissant, Blueberry Muffin, and Sparkling Water, with a total cost of"
standard,receipt,text_en,What text appears in this image?,861,13,0.032,0.113,0.316,64,202.68,2.437,0,"BLUE BOTTLE CAFE 1234 Market St, San Francisco Tel: (415) 555-0123 Receipt # A-084213 Date: 2026-07-31 1"
standard,receipt,count_en,Count the objects/people in this image.,863,13,0.033,0.112,0.115,2,17.36,2.437,0,7
standard,receipt,subject_en,What is the main subject?,860,13,0.037,0.112,0.145,11,75.81,2.437,0,The main subject is Blue Bottle Cafe.
